Unique ID,Indicator ID,Name,Measure,Measure Info,Geo Type Name,Geo Join ID,Geo Place Name,Time Period,Start_Date,Data Value,Message
168533.0,365.0,,,,,210.0,,,,13.1,
169302.0,365.0,,,,,212.0,,,,10.2,
742457.0,365.0,,,,,210.0,,,,8.4,
823560.0,365.0,,,,,412.0,,,,6.6,
411121.0,365.0,,,,,410.0,,,,6.9,
605957.0,365.0,,,,,210.0,,,,6.9,
742547.0,365.0,,,,,410.0,,,,7.8,
169509.0,365.0,,,,,412.0,,,,10.0,
169568.0,365.0,,,,,412.0,,,,10.1,
178416.0,365.0,,,,,211.0,,,,11.4,
825766.0,375.0,,,,,204.0,,,,10.9,
412492.0,375.0,,,,,304.0,,,,23.2,
602765.0,375.0,,,,,304.0,,,,22.2,
740957.0,375.0,,,,,304.0,,,,15.7,
412438.0,375.0,,,,,104.0,,,,17.9,
602753.0,375.0,,,,,211.0,,,,21.0,
825734.0,375.0,,,,,304.0,,,,22.1,
825788.0,375.0,,,,,104.0,,,,21.8,
212811.0,365.0,,,,,211.0,,,,10.9,
334003.0,365.0,,,,,211.0,,,,9.6,
178402.0,365.0,,,,,104.0,,,,10.6,
178486.0,365.0,,,,,104.0,,,,10.5,
170418.0,365.0,,,,,207.0,,,,9.4,
170430.0,365.0,,,,,307.0,,,,9.2,
169474.0,365.0,,,,,207.0,,,,10.6,
169533.0,365.0,,,,,207.0,,,,10.6,
605948.0,365.0,,,,,207.0,,,,7.4,
742448.0,365.0,,,,,207.0,,,,8.7,
823172.0,365.0,,,,,207.0,,,,7.4,
169511.0,365.0,,,,,414.0,,,,9.4,
169570.0,365.0,,,,,414.0,,,,9.4,
823491.0,365.0,,,,,307.0,,,,7.3,
169521.0,365.0,,,,,107.0,,,,11.4,
169462.0,365.0,,,,,107.0,,,,11.4,
742538.0,365.0,,,,,407.0,,,,8.3,
823545.0,365.0,,,,,407.0,,,,7.0,
169334.0,365.0,,,,,414.0,,,,9.6,
170455.0,365.0,,,,,414.0,,,,7.6,
168567.0,365.0,,,,,414.0,,,,10.3,
169285.0,365.0,,,,,107.0,,,,12.1,
176081.0,375.0,,,,,407.0,,,,16.6,
602804.0,375.0,,,,,407.0,,,,17.2,
334266.0,365.0,,,,,304.0,,,,9.4,
605975.0,365.0,,,,,304.0,,,,7.5,
823482.0,365.0,,,,,304.0,,,,7.3,
742472.0,365.0,,,,,303.0,,,,8.8,
411046.0,365.0,,,,,303.0,,,,8.1,
547732.0,365.0,,,,,403.0,,,,7.2,
742473.0,365.0,,,,,303.0,,,,6.8,
549749.0,375.0,,,,,2.0,,,,18.5,
175892.0,375.0,,,,,207.0,,,,21.4,
412469.0,375.0,,,,,208.0,,,,20.9,
175956.0,375.0,,,,,408.0,,,,17.9,
412533.0,375.0,,,,,408.0,,,,13.1,
740965.0,375.0,,,,,307.0,,,,27.0,
740935.0,375.0,,,,,208.0,,,,21.2,
175934.0,375.0,,,,,207.0,,,,19.0,
740966.0,375.0,,,,,307.0,,,,20.2,
176544.0,375.0,,,,,408.0,,,,22.3,
667682.0,375.0,,,,,304.0,,,,27.7,
166020.0,375.0,,,,,404.0,,,,26.7,
336803.0,375.0,,,,,304.0,,,,15.5,
131425.0,648.0,,,,,208.0,,,,81.7,
131445.0,648.0,,,,,407.0,,,,80.0,
131424.0,648.0,,,,,207.0,,,,115.8,
628472.0,648.0,,,,,408.0,,,,69.6,
628471.0,648.0,,,,,407.0,,,,43.0,
168527.0,365.0,,,,,204.0,,,,14.9,
170415.0,365.0,,,,,204.0,,,,10.0,
547606.0,365.0,,,,,103.0,,,,8.4,
742401.0,365.0,,,,,103.0,,,,7.6,
547642.0,365.0,,,,,203.0,,,,7.9,
606053.0,365.0,,,,,412.0,,,,6.7,
605963.0,365.0,,,,,212.0,,,,7.0,
605915.0,365.0,,,,,108.0,,,,8.7,
169566.0,365.0,,,,,410.0,,,,9.7,
547759.0,365.0,,,,,412.0,,,,7.1,
169332.0,365.0,,,,,412.0,,,,10.1,
168565.0,365.0,,,,,412.0,,,,11.8,
170453.0,365.0,,,,,412.0,,,,8.3,
547669.0,365.0,,,,,212.0,,,,7.4,
742416.0,365.0,,,,,108.0,,,,7.0,
336606.0,375.0,,,,,501.0,,,,22.7,
412481.0,375.0,,,,,301.0,,,,23.4,
175970.0,375.0,,,,,201.0,,,,21.3,
412450.0,375.0,,,,,201.0,,,,21.4,
166028.0,375.0,,,,,412.0,,,,23.1,
167621.0,375.0,,,,,412.0,,,,21.3,
643709.0,375.0,,,,,412.0,,,,13.3,
667838.0,375.0,,,,,412.0,,,,22.3,
165998.0,375.0,,,,,212.0,,,,22.0,
167589.0,375.0,,,,,210.0,,,,19.8,
165996.0,375.0,,,,,210.0,,,,21.0,
628455.0,648.0,,,,,301.0,,,,81.6,
169330.0,365.0,,,,,410.0,,,,10.0,
