name,measure,measureInfo,geoTypeName,geoJoinId,geoPlaceName,timePeriod,start_date,dataValue,message
,,,,103.0,,,,7.6,
,,,,203.0,,,,7.9,
,,,,412.0,,,,6.7,
,,,,212.0,,,,7.0,
,,,,108.0,,,,8.7,
,,,,410.0,,,,9.7,
,,,,412.0,,,,7.1,
,,,,412.0,,,,10.1,
,,,,412.0,,,,11.8,
,,,,412.0,,,,8.3,
,,,,212.0,,,,7.4,
,,,,108.0,,,,7.0,
,,,,501.0,,,,22.7,
,,,,301.0,,,,23.4,
,,,,201.0,,,,21.3,
,,,,201.0,,,,21.4,
,,,,412.0,,,,23.1,
,,,,412.0,,,,21.3,
,,,,412.0,,,,13.3,
,,,,412.0,,,,22.3,
,,,,212.0,,,,22.0,
,,,,210.0,,,,19.8,
,,,,210.0,,,,21.0,
,,,,301.0,,,,53.39999999999999,
,,,,410.0,,,,10.0,
,,,,410.0,,,,8.0,
,,,,410.0,,,,6.8,
,,,,410.0,,,,6.2,
,,,,110.0,,,,7.9,
,,,,112.0,,,,6.9,
,,,,212.0,,,,13.4,
,,,,212.0,,,,8.7,
,,,,409.0,,,,16.8,
,,,,409.0,,,,22.7,
,,,,409.0,,,,16.4,
,,,,409.0,,,,14.3,
,,,,210.0,,,,17.2,
,,,,309.0,,,,11.5,
,,,,309.0,,,,8.4,
,,,,3.0,,,,11.8,
,,,,104.0,,,,10.4,
,,,,203.0,,,,7.5,
,,,,209.0,,,,9.8,
,,,,209.0,,,,8.1,
,,,,209.0,,,,5.9,
,,,,409.0,,,,9.4,
,,,,210.0,,,,5.7,
,,,,409.0,,,,17.3,
,,,,409.0,,,,9.8,
,,,,106.0,,,,20.8,
,,,,106.0,,,,14.2,
,,,,209.0,,,,14.0,
,,,,410.0,,,,10.5,
,,,,410.0,,,,4.9,
,,,,409.0,,,,18.6,
,,,,409.0,,,,16.2,
,,,,409.0,,,,16.2,
,,,,409.0,,,,9.9,
,,,,209.0,,,,16.0,
,,,,402.0,,,,10.9,
,,,,202.0,,,,9.8,
,,,,202.0,,,,11.5,
,,,,402.0,,,,9.3,
,,,,202.0,,,,11.2,
,,,,102.0,,,,9.4,
,,,,212.0,,,,11.7,
,,,,412.0,,,,21.6,
,,,,412.0,,,,22.3,
,,,,412.0,,,,13.6,
,,,,412.0,,,,19.9,
,,,,412.0,,,,14.3,
,,,,212.0,,,,22.1,
,,,,210.0,,,,21.3,
,,,,210.0,,,,20.4,
,,,,412.0,,,,28.4,
,,,,412.0,,,,18.5,
,,,,412.0,,,,19.1,
,,,,412.0,,,,17.8,
,,,,412.0,,,,15.1,
,,,,212.0,,,,25.4,
,,,,212.0,,,,18.0,
,,,,212.0,,,,15.6,
,,,,210.0,,,,17.2,
,,,,210.0,,,,26.4,
,,,,410.0,,,,24.1,
,,,,210.0,,,,18.1,
,,,,210.0,,,,15.4,
,,,,212.0,,,,18.4,
,,,,211.0,,,,32.6,
,,,,211.0,,,,20.7,
,,,,211.0,,,,19.0,
,,,,211.0,,,,23.1,
,,,,209.0,,,,28.4,
,,,,209.0,,,,24.9,
,,,,209.0,,,,18.6,
,,,,401.0,,,,25.7,
,,,,305.0,,,,11.2,
,,,,305.0,,,,7.1,
,,,,105.0,,,,10.2,
,,,,305.0,,,,12.1,
,,,,403.0,,,,10.1,
,,,,305.0,,,,8.9,
,,,,203.0,,,,8.5,
,,,,105.0,,,,7.3,
,,,,305.0,,,,11.1,
,,,,403.0,,,,10.2,
,,,,305.0,,,,7.0,
,,,,305.0,,,,12.9,
,,,,403.0,,,,6.5,
,,,,303.0,,,,6.8,
,,,,305.0,,,,53.39999999999999,
,,,,303.0,,,,11.6,
,,,,103.0,,,,24.5,
,,,,403.0,,,,11.6,
,,,,305.0,,,,7.1,
,,,,303.0,,,,8.7,
,,,,305.0,,,,35.9,
,,,,305.0,,,,29.2,
,,,,305.0,,,,28.6,
,,,,305.0,,,,30.9,
,,,,403.0,,,,24.0,
,,,,305.0,,,,25.0,
,,,,305.0,,,,20.3,
,,,,203.0,,,,32.2,
,,,,203.0,,,,17.1,
,,,,203.0,,,,26.4,
,,,,105.0,,,,17.6,
,,,,305.0,,,,29.5,
,,,,203.0,,,,6.9,
,,,,107.0,,,,14.3,
,,,,107.0,,,,10.4,
,,,,204.0,,,,19.5,
,,,,304.0,,,,25.8,
,,,,304.0,,,,26.4,
,,,,304.0,,,,22.8,
,,,,211.0,,,,24.1,
,,,,304.0,,,,19.1,
,,,,204.0,,,,23.3,
,,,,204.0,,,,16.6,
,,,,304.0,,,,32.0,
,,,,304.0,,,,29.3,
,,,,211.0,,,,17.0,
,,,,104.0,,,,19.4,
,,,,211.0,,,,25.3,
,,,,304.0,,,,23.9,
,,,,204.0,,,,15.7,
,,,,414.0,,,,14.0,
,,,,404.0,,,,13.4,
,,,,404.0,,,,22.1,
,,,,307.0,,,,11.5,
,,,,307.0,,,,13.6,
,,,,307.0,,,,8.2,
,,,,211.0,,,,7.5,
,,,,211.0,,,,9.4,
,,,,404.0,,,,7.6,
,,,,104.0,,,,13.3,
,,,,107.0,,,,30.6,
,,,,107.0,,,,28.6,
,,,,414.0,,,,18.8,
,,,,307.0,,,,15.3,
,,,,414.0,,,,14.2,
,,,,414.0,,,,14.6,
,,,,306.0,,,,36.4,
,,,,202.0,,,,1.2,
,,,,202.0,,,,6.9,
,,,,306.0,,,,12.4,
,,,,102.0,,,,7.1,
,,,,202.0,,,,7.4,
,,,,202.0,,,,9.1,
,,,,302.0,,,,10.8,
,,,,102.0,,,,10.2,
,,,,102.0,,,,8.7,
,,,,102.0,,,,13.4,
,,,,302.0,,,,15.7,
,,,,102.0,,,,2.2,
,,,,102.0,,,,11.8,
,,,,102.0,,,,8.3,
,,,,102.0,,,,7.3,
,,,,306.0,,,,9.3,
,,,,202.0,,,,11.1,
,,,,306.0,,,,10.0,
,,,,302.0,,,,25.4,
,,,,306.0,,,,23.3,
,,,,102.0,,,,18.9,
,,,,202.0,,,,18.8,
,,,,306.0,,,,19.5,
,,,,302.0,,,,8.0,
,,,,202.0,,,,11.0,
,,,,302.0,,,,7.5,
,,,,306.0,,,,11.8,
,,,,102.0,,,,11.6,
,,,,202.0,,,,24.0,
,,,,406.0,,,,10.6,
,,,,306.0,,,,20.2,
,,,,201.0,,,,18.4,
,,,,412.0,,,,16.7,
,,,,412.0,,,,16.3,
,,,,412.0,,,,17.7,
,,,,412.0,,,,10.5,
,,,,212.0,,,,13.8,
,,,,212.0,,,,15.7,
,,,,210.0,,,,13.6,
,,,,210.0,,,,15.3,
,,,,410.0,,,,17.2,
,,,,210.0,,,,11.8,
,,,,212.0,,,,15.8,
,,,,410.0,,,,17.7,
,,,,410.0,,,,28.7,
,,,,410.0,,,,19.0,
,,,,410.0,,,,17.4,
,,,,410.0,,,,14.6,
,,,,310.0,,,,16.4,
,,,,112.0,,,,30.0,
,,,,112.0,,,,25.0,
,,,,112.0,,,,22.3,
,,,,412.0,,,,17.3,
,,,,412.0,,,,18.0,
,,,,412.0,,,,20.9,
,,,,210.0,,,,16.2,
,,,,210.0,,,,16.7,
,,,,410.0,,,,22.5,
,,,,210.0,,,,18.9,
,,,,410.0,,,,21.1,
,,,,412.0,,,,13.2,
,,,,302.0,,,,11.0,
,,,,302.0,,,,11.1,
,,,,301.0,,,,10.9,
,,,,102.0,,,,11.1,
,,,,201.0,,,,10.8,
,,,,409.0,,,,16.2,
,,,,409.0,,,,15.3,
,,,,210.0,,,,21.3,
,,,,410.0,,,,10.1,
,,,,410.0,,,,9.9,
,,,,409.0,,,,21.1,
,,,,409.0,,,,12.1,
,,,,409.0,,,,19.8,
,,,,209.0,,,,22.7,
,,,,410.0,,,,18.0,
,,,,210.0,,,,19.0,
,,,,106.0,,,,26.7,
,,,,106.0,,,,18.3,
,,,,209.0,,,,22.5,
,,,,409.0,,,,19.3,
,,,,409.0,,,,19.9,
,,,,410.0,,,,14.7,
,,,,410.0,,,,7.4,
,,,,301.0,,,,17.0,
,,,,301.0,,,,29.4,
,,,,410.0,,,,53.39999999999999,
,,,,409.0,,,,39.5,
,,,,310.0,,,,53.39999999999999,
,,,,3.0,,,,53.39999999999999,
,,,,409.0,,,,53.39999999999999,
,,,,210.0,,,,29.4,
,,,,402.0,,,,8.1,
,,,,402.0,,,,7.1,
,,,,410.0,,,,7.6,
,,,,410.0,,,,6.3,
,,,,402.0,,,,22.6,
,,,,209.0,,,,10.6,
,,,,209.0,,,,8.9,
,,,,409.0,,,,10.4,
,,,,209.0,,,,10.4,
,,,,209.0,,,,7.1,
,,,,209.0,,,,7.3,
,,,,211.0,,,,7.1,
,,,,409.0,,,,10.1,
,,,,409.0,,,,10.1,
,,,,411.0,,,,6.5,
,,,,409.0,,,,6.8,
,,,,409.0,,,,8.4,
,,,,409.0,,,,8.8,
,,,,402.0,,,,25.8,
,,,,402.0,,,,25.0,
,,,,411.0,,,,20.3,
,,,,409.0,,,,22.8,
,,,,411.0,,,,12.7,
,,,,411.0,,,,8.8,
,,,,109.0,,,,14.5,
,,,,109.0,,,,9.8,
,,,,111.0,,,,9.7,
,,,,211.0,,,,9.9,
,,,,309.0,,,,6.5,
,,,,409.0,,,,14.4,
,,,,409.0,,,,24.7,
,,,,302.0,,,,21.8,
,,,,302.0,,,,21.5,
,,,,306.0,,,,27.6,
,,,,102.0,,,,17.5,
,,,,102.0,,,,21.3,
,,,,202.0,,,,20.2,
,,,,406.0,,,,17.3,
,,,,305.0,,,,12.3,
,,,,305.0,,,,10.7,
,,,,305.0,,,,7.0,
,,,,305.0,,,,6.7,
,,,,105.0,,,,14.8,
,,,,105.0,,,,10.1,
,,,,305.0,,,,9.1,
,,,,302.0,,,,26.7,
,,,,202.0,,,,22.2,
,,,,202.0,,,,17.3,
,,,,302.0,,,,23.9,
,,,,302.0,,,,25.5,
,,,,102.0,,,,17.9,
,,,,306.0,,,,34.6,
,,,,306.0,,,,25.0,
,,,,306.0,,,,32.9,
,,,,302.0,,,,21.7,
,,,,202.0,,,,17.8,
,,,,302.0,,,,28.2,
,,,,306.0,,,,28.4,
,,,,306.0,,,,29.2,
,,,,306.0,,,,53.39999999999999,
,,,,306.0,,,,53.39999999999999,
,,,,202.0,,,,53.39999999999999,
,,,,307.0,,,,16.4,
,,,,204.0,,,,15.4,
,,,,204.0,,,,25.8,
,,,,403.0,,,,23.3,
,,,,304.0,,,,20.3,
,,,,304.0,,,,17.5,
,,,,404.0,,,,23.0,
,,,,303.0,,,,32.7,
,,,,303.0,,,,17.9,
,,,,201.0,,,,20.6,
,,,,301.0,,,,30.5,
,,,,202.0,,,,21.1,
,,,,102.0,,,,18.4,
,,,,402.0,,,,32.0,
,,,,402.0,,,,21.7,
,,,,407.0,,,,22.9,
,,,,407.0,,,,20.4,
,,,,307.0,,,,39.4,
,,,,408.0,,,,14.9,
,,,,408.0,,,,23.8,
,,,,304.0,,,,22.6,
,,,,404.0,,,,20.2,
,,,,404.0,,,,19.4,
,,,,303.0,,,,20.0,
,,,,303.0,,,,13.1,
,,,,203.0,,,,20.1,
,,,,203.0,,,,19.8,
,,,,403.0,,,,21.7,
,,,,203.0,,,,17.3,
,,,,404.0,,,,21.3,
,,,,103.0,,,,34.9,
,,,,103.0,,,,26.6,
,,,,103.0,,,,23.7,
,,,,4.0,,,,8.1,
,,,,208.0,,,,6.3,
,,,,413.0,,,,8.2,
,,,,413.0,,,,6.3,
,,,,413.0,,,,6.5,
,,,,413.0,,,,20.2,
,,,,413.0,,,,22.8,
,,,,208.0,,,,14.3,
,,,,408.0,,,,15.3,
,,,,413.0,,,,16.2,
,,,,413.0,,,,10.4,
,,,,413.0,,,,12.2,
,,,,413.0,,,,21.1,
,,,,413.0,,,,20.1,
,,,,4.0,,,,26.8,
,,,,413.0,,,,14.6,
,,,,413.0,,,,7.1,
,,,,413.0,,,,6.9,
,,,,4.0,,,,22.5,
,,,,4.0,,,,18.7,
,,,,4.0,,,,6.5,
,,,,413.0,,,,7.9,
,,,,413.0,,,,5.8,
,,,,413.0,,,,53.39999999999999,
,,,,4.0,,,,6.7,
,,,,4.0,,,,11.2,
,,,,4.0,,,,11.5,
,,,,4.0,,,,7.8,
,,,,4.0,,,,13.1,
,,,,4.0,,,,20.7,
,,,,4.0,,,,10.6,
,,,,4.0,,,,28.3,
,,,,4.0,,,,7.2,
,,,,4.0,,,,17.9,
,,,,4.0,,,,21.5,
,,,,4.0,,,,9.8,
,,,,404.0,,,,21.4,
,,,,404.0,,,,21.4,
,,,,304.0,,,,24.5,
,,,,203.0,,,,23.9,
,,,,303.0,,,,25.2,
,,,,303.0,,,,23.4,
,,,,107.0,,,,26.8,
,,,,308.0,,,,23.6,
,,,,308.0,,,,20.5,
,,,,407.0,,,,29.2,
,,,,407.0,,,,27.4,
,,,,407.0,,,,24.0,
,,,,407.0,,,,15.1,
,,,,103.0,,,,26.4,
,,,,403.0,,,,15.7,
,,,,404.0,,,,28.7,
,,,,404.0,,,,26.7,
,,,,304.0,,,,12.1,
,,,,308.0,,,,39.6,
,,,,2.0,,,,27.8,
,,,,2.0,,,,15.4,
,,,,107.0,,,,27.9,
,,,,107.0,,,,18.8,
,,,,207.0,,,,30.5,
,,,,207.0,,,,24.3,
,,,,207.0,,,,16.3,
,,,,303.0,,,,26.7,
,,,,203.0,,,,14.9,
,,,,307.0,,,,16.5,
,,,,308.0,,,,7.2,
,,,,207.0,,,,53.39999999999999,
,,,,107.0,,,,53.39999999999999,
,,,,105.0,,,,10.9,
,,,,305.0,,,,6.7,
,,,,203.0,,,,20.2,
